Q0 = 1.000 GeV	 Q = 1.732 GeV
x	 x*(uv-dv)	 x*(u+-d+)	 xu+	 xd+	 xu	 xd	 xubar	 xdbar
1.000E-04	5.047E-04	7.892E-04	3.552E-04	-4.340E-04	3.629E-04	-2.840E-04	-7.699E-06	-1.500E-04
1.009E-04	5.087E-04	7.953E-04	3.583E-04	-4.369E-04	3.659E-04	-2.860E-04	-7.605E-06	-1.509E-04
1.019E-04	5.127E-04	8.014E-04	3.615E-04	-4.399E-04	3.690E-04	-2.881E-04	-7.510E-06	-1.518E-04
1.028E-04	5.168E-04	8.075E-04	3.647E-04	-4.429E-04	3.721E-04	-2.901E-04	-7.413E-06	-1.528E-04
1.038E-04	5.209E-04	8.137E-04	3.679E-04	-4.459E-04	3.752E-04	-2.921E-04	-7.314E-06	-1.537E-04
1.047E-04	5.250E-04	8.200E-04	3.711E-04	-4.489E-04	3.783E-04	-2.942E-04	-7.214E-06	-1.547E-04
1.057E-04	5.292E-04	8.263E-04	3.743E-04	-4.519E-04	3.814E-04	-2.963E-04	-7.112E-06	-1.557E-04
1.067E-04	5.333E-04	8.326E-04	3.776E-04	-4.550E-04	3.846E-04	-2.984E-04	-7.009E-06	-1.566E-04
1.076E-04	5.376E-04	8.390E-04	3.809E-04	-4.581E-04	3.878E-04	-3.005E-04	-6.905E-06	-1.576E-04
1.086E-04	5.418E-04	8.455E-04	3.843E-04	-4.612E-04	3.911E-04	-3.026E-04	-6.798E-06	-1.586E-04
1.096E-04	5.461E-04	8.520E-04	3.876E-04	-4.643E-04	3.943E-04	-3.047E-04	-6.691E-06	-1.596E-04
1.107E-04	5.504E-04	8.585E-04	3.910E-04	-4.675E-04	3.976E-04	-3.069E-04	-6.581E-06	-1.606E-04
1.117E-04	5.548E-04	8.651E-04	3.944E-04	-4.707E-04	4.009E-04	-3.090E-04	-6.470E-06	-1.616E-04
1.127E-04	5.592E-04	8.718E-04	3.979E-04	-4.739E-04	4.042E-04	-3.112E-04	-6.357E-06	-1.626E-04
1.138E-04	5.636E-04	8.785E-04	4.014E-04	-4.771E-04	4.076E-04	-3.134E-04	-6.243E-06	-1.637E-04
1.148E-04	5.681E-04	8.852E-04	4.049E-04	-4.803E-04	4.110E-04	-3.156E-04	-6.127E-06	-1.647E-04
